Locality_name,AR_number,Associated_names,Location_comments,Lat,Lon,Year_gazetted_est_closure,Years_of_operation_as_mission,Reference,Parish_Maps,Type
Whitton Park Road (Peak Hill),AR 79332,The Mission,"Whitton Park Road, Peak Hill",-32.7368,148.1934,1957-,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.187","New South Wales Department of Lands 1962, 'Parish of Mingelo, County of Narromine, Land District of Parkes, Goobang Shire & Municipality of Peak Hill, Central Division N.S.W.', 7th edn, Department of Lands, Sydney.",Reserves
Willow Bend (Condobolin),"AR 5988, AR 32512",Willow Bend Aboriginal Settlement,Condobolin,-33.0927,147.1621,1901-,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.443",,Reserves
Wingadee (Coonamble),"AR 17576, AR 31713","Terembone, Redbank Mission","Located at Wingadee on Teridgerie Creek, north of Coonamble",-30.5243,148.4095,1900-1922,,"Goodall, 1996, p.135; Felton, 2013, p.148","New South Wales Department of Lands 1911, 'Parish of Collinouie, County of Leichhardt, Land District of Coonamble, Central Division N.S.W., Wingadee Shire', 4th edn, Department of Lands, Sydney.",Reserves
Wirrimbi Island,"AR 42775, AR 57051",,Near Wirrimbi,-30.6698,152.9124,1908-1924,,"Felton, 2013, p.113","New South Wales Department of Lands 1904, 'Parish of Bowra, County of Raleigh, Land Districts of Bellingen and Kempsey, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Reserves
Wooloweyah Estuary (Yamba),AR 2955,Yamba,6 miles south of Yamba,-29.5171,153.3194,1887-1958,,"Felton, 2013, p.304; Goodall, 1996, p.138","New South Wales Department of Lands 1914, 'Parish of Yamba, County of Clarence, Land District of Grafton, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Reserves
Yarboro's Reserve (Potato Point),AR 345,,Behind Potato Point Beach,-36.0877,150.1313,1877-1922,,"Eurobodalla Shire Council, NSW Office of Environment and Heritage, Donaldson, SD & Feary, S 2012, Invisible places: historical Aboriginal reserves in the Eurobodalla Shire, NSW, Eurobodalla Shire Council, Moruya, N.S.W.",,Reserves
Forbes,AR 43462/3,,"Parish of Forbes, County of Ashburnham. Located on Lachlan River about two miles from town",-33.4183,148.0212,1909-1915,,"Felton, 2013, p.169",,Reserves
Gongolgon,AR 47224/5,,"Parish of Gongolgon, County of Cowper",-30.5393,146.8731,1911-1912?,,"Felton, 2013, p.174",,Reserves
Jingellic,AR 1209,,"Junction of the Murray River and Basin Creek, 17 miles west of Jingellic",-35.9469,147.4577,1874-1940s?,,"Felton, 2013, p.197",,Reserves
Wauchope,AR 3167,,"Parish of  Macquarie, County of Macquarie. Located on 'V' shaped island on Hastings River, SW of Sancroix, opposite Oxley Head",-31.4494,152.7573,1887-1941,,"Felton, 2013, pp. 253, 294",,Reserves
White Cliffs,Unknown,,"Parish Unknown, County of Yungnulgra. 2 miles from town of White Cliffs",-30.8324,143.0717,1910-1940,,"Felton, 2013, p.296",,Reserves
Bell River Flats,,,Wellington,,,1940-1970,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.156",,Camps
Billagong Creek (Parkes),,,Near Parkes,,,,,"Bennett, M 2014, Aboriginal history of the Parkes shire: recording and retelling Wiradjuri stories, NTSCORP, Sydney, p.27",,Camps
Bottom Camp (Collarenebri),,,Collarenebri,,,,,,,Camps
Bottom Hill (Peak Hill),,,Peak Hill,,,,,,,Camps
Bottom Sandhills,,"Bottom Sandhills, Weir's Reserve",Narrandera District,,,,,,,Camps
Bowraville Fringe Camp,,Grassy Road,Bowraville racecourse,-30.6453,152.8659,?,,"NSW National Parks and Wildlife Service 2003, Aboriginal women’s heritage: Nambucca, NSW National Parks and Wildlife Service, Sydney.",,Camps
Bridge Reserve,,,Narromine,-32.2214,148.2405,1860s-1960s,,"NSW Office of Environment & Heritage 2015, Bridge Reserve, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062854>",,Camps
Brown's Flat (Taree),,,"North of River, where showground is, Taree",,,,,"Felton, 2006, p.213",,Camps
Bushranger's Creek,,,Wellington,-32.5495,148.905,1950-1960s,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.131",,Camps
Coffs Creek,,,Coffs Harbour,-30.2935,153.1191,1940s-1950s,,"NSW Office of Environment and Heritage 2011, Living along Coffs Creek, viewed 17 August 2016, <http://www.environment.nsw.gov.au/nswcultureheritage/coffscreek.htm>",,Camps
Dixonville,,,Narranderra,,,,,"Laurie Bamblett: ""I asked my parents about Dixonville at Narrandera and they said it was a former timber mill where people lived. When the mill closed people lived in the old houses there. I actually remembered the place when they told me the people who lived there. It was near the Narrandera cemetery and across the Leeton Road from the Sandhills."" (25/8/2016)",,Camps
Dung Hill,,,Coffs Harbour,,,,,"NSW Office of Environment and Heritage 2011, Living along Coffs Creek, viewed 17 August 2016, <http://www.environment.nsw.gov.au/nswcultureheritage/coffscreek.htm>",,Camps
Frogs Hollow,,,Griffith,-34.2743,146.0299,1950s-,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.363",,Camps
Georges Creek (Macleay),,,Macleay River,-30.7487,152.19,,,"Harrison, R n.d., Shared landscapes: archaeologies of attachment and the pastoral industry in New South Wales, UNSW Press, Sydney, p.92",,Camps
Happy Valley Fringe Camp,,,Coonabarabran,-31.27,149.2772,,,,,Camps
Hill 60 (Port Kembla),,,Port Kembla,-34.49,150.9158,,,"Goodall, H 1996, Invasion to embassy: land in Aboriginal politics in New South Wales, 1770-1972, Allen & Unwin in association with Black Books, Sydney, pp. 308-309; New South Wales Department of Environment and Conservation, Wesson, S, Schilling, K & New South Wales National Parks and Wildlife Service 2004, Aboriginal women’s heritage: Wollongong, New South Wales Department of Environment and Conservation, Hurstville, NSW",,Camps
Inverell,,,"Goonoowigall State Reserve, outside of Inverell",,,1940s-1960s,,,,Camps
Jubullum Flat Camp,,,Tabulam,-28.8817,152.5727,?,,"Edwards, D, Walker, E, NSW Department of Environment, Climate Change & Water & NSW National Parks and Wildlife Service 2010, Jubullum Flat Camp: Aboriginal area: draft plan of management, DECCW, Sydney, p.5",,Camps
Lower Creek (Macleay),,,Macleay River,-30.728,152.2553,,,"Harrison, R n.d., Shared landscapes: archaeologies of attachment and the pastoral industry in New South Wales, UNSW Press, Sydney, p.92",,Camps
Mack Reserve,,,Narromine,-32.1935,148.2437,1860s-1960s,,"NSW Office of Environment & Heritage 2015, Mack Reserve, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062948>",,Camps
Middle Camp (Collarenebri),,,Collarenebri,,,,,,,Camps
North Hill Common,,,Near Armidale,,,,,,,Camps
Otford,,Crusaders Camp Mission Hostel,,,,1940-1946,,https://www.findandconnect.gov.au/guide/nsw/NE01218,,Camps
Scarborough,,,,,,,,,,Camps
Tabulam 'Black Camp',,,Tabulam,-28.886,152.5666,?,,"Edwards, D, Walker, E, NSW Department of Environment, Climate Change & Water & NSW National Parks and Wildlife Service 2010, Jubullum Flat Camp: Aboriginal area: draft plan of management, DECCW, Sydney, p.5",,Camps
Tabulam Top Camp,,,Tabulam,-28.8926,152.5724,?,,"Edwards, D, Walker, E, NSW Department of Environment, Climate Change & Water & NSW National Parks and Wildlife Service 2010, Jubullum Flat Camp: Aboriginal area: draft plan of management, DECCW, Sydney, p.5",,Camps
The Flat (Peak Hill),,,Peak Hill,,,,,,,Camps
The Gully (Katoomba),,,"The Gully, western side of Katoomba",-33.716,150.3044,1920-1956,,"Felton, 2013, p.199",,Camps
The Murie,,,Condobolin,-33.1089,147.1469,1900s-1970s,,"NSW Office of Environment & Heritage 2015, The Murie, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062906>",,Camps
The Old Camp (Collarenebri),,The Common,"Western side of river, 1 mile upstream of town, on right hand side on Mungindi Road, 1/4 mile from river",,,1929-1960,,"Felton, 2013, p.143",,Camps
The Pines,,,5 miles from Wee Waa,,,,,,,Camps
The Sandhills (Narrandera),,Top Sandhill,Narrandera District,-34.7536,146.5413,1916-1965,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, pp. 280, 300",,Camps
The Springs (Orange),,,South of Orange,-33.3155,149.0847,1930-1943,,"NTSCorp, Heritage Council of New South Wales, NSW Office of Environment and Heritage & Orange City Council 2012, Orange Aboriginal Heritage Report, February, Orange City Council, Orange, N.S.W., p.62",,Camps
Tin Town (Coonamble),,,"Located on Island, Warrena Creek, off Namoi Street, Coonamble",,,1940s-1960s,,"Felton, 2013, p.149",,Camps
Top Camp (Collarenebri),,,Collarenebri,,,,,,,Camps
Top Hill (Peak Hill),,,Peak Hill,,,,,,,Camps
Wattle Hill,,,Leeton,-34.5503,146.3765,1940s-,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, pp. 375-386",,Camps
Wellington 'Blacks Camp',,,"Above river crossing near Wellington, where Stone Falls Road runs into the river at Nanima Falls",,,-1910,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.141",,Camps
Woolscour Reserve,,,Narrandera District,-34.7461,146.5323,1930s-1940s,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.285",,Camps
Yass 'Blacks Camp',,"Old Camps, The Town Camp, The Weir, North Yass Reserve, The Water Reserve",Yass,-34.8339,148.9217,1870s-1934,,"Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, pp. 225-236",,Camps
Bomaderry Children's Home,,Bomaderry Children's Home,Bomaderry,-34.8554,150.6008,?1900-1980,,"Felton, 2013, p.108; NSW Office of Environment & Heritage 2011, Bomaderry Aboriginal Children’s Home, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5061330>",,Childrens homes
Cootamundra Aboriginal Girls' Training Home,"AR 61007/8, AR 79858, AR 83289","Cootamundra Aboriginal Girls' Training Home, Binbadeen College",Cootamundra,-34.6405,148.0456,1912-1974,,"NSW Office of Environment & Heritage 2011, Cootamundra Aboriginal Girls’ Training Home: description, viewed 11 May 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=5061346>","New South Wales Department of Lands 1943, 'Parish of Cootamundra, County of Harden, Land District of Cootamundra, Jindalee Shire & Municipality of Cootamundra, Eastern Division N.S.W.', 10th edn, Department of Lands, Sydney.",Childrens homes
Kinchela Aboriginal Boys' Home,"AR 174, AR 29616, AR 57397/8, AR 88638","Kinchela Boys' Home, The Aboriginal Boys' Training Home; Aboriginal Mission School, The Mission, Arakoon",Kinchela,-30.9764,152.9818,1883-1975,,"NSW Office of Environment & Heritage 2011, Kinchela Aboriginal Boys’ Training Home: description, viewed 11 May 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=5054659>","New South Wales Department of Lands 1889, 'Map of the Village of Kinchela and suburban lands, Parish of Arakoon, County of Macquarie, Land District of Kempsey', Department of Lands, Sydney; New South Wales Department of Lands 1911, 'Parish of Kinchela, County of Macquarie, Kempsey Land District, Eastern Division N.S.W.', 5th edn, Department of Lands, Sydney.",Childrens homes
Kellyville,,"Marella Mission Farm, The Marella Aboriginal Children's Farm",Near Kellyville,,,1948-1986,,https://www.findandconnect.gov.au/guide/nsw/NE01291,,Childrens homes
Parramatta Girls' Home,,,,,,1940s-1980?,,,,Childrens homes
Singleton Aboriginal Children's Home,Unknown,,"George Street, Singleton",,,1905-1923,,"Felton, 2013, p.192",,Childrens homes
Iron Pot Creek,AR 6269,,"Parish of Toonumbar and Babyil, County of Rous",,,1888-1891,,"Felton, 2013, p.269",,Unknown location reserves
Kangaroo Valley,AR 12445,,"Parish of Burrawang, County of Camden",,,1890-1899,,"Felton, 2013, p.198",,Unknown location reserves
Lismore,Unknown,,"Parish of Lismore, County of Rous. Town housing site",,,1962-,,"Felton, 2013, p.219",,Unknown location reserves
Milparinka,,,"Parish of Milparinka, County of Evelyn",,,,,"Felton, 2013, p.226",,Unknown location reserves
Moulamein,"AR 85795, AR 86526",,"Parish of Moulamein, County of Wakool",,,1966-,,"Felton, 2013, pp. 231-232",,Unknown location reserves
Mundiwa,,,"Parish Unknown, Probably County of Narran",,,,,"Felton, 2013, pp. 232-233",,Unknown location reserves
Pretty Gully,"AR 43599, AR 43600",,"Parish of Jenny Lind, County of Buller",,,1909-1917,,"Felton, 2013, p.269",,Unknown location reserves
Redbourneberry Reserve (Singleton),"AR 7678, 13791, 24231",Singleton,"Parish of Darlington, County of Durham",,,1889-1911,,"Felton, 2013, p.191",,Unknown location reserves
Trial Bay,AR 217,Arakoon?,"Parish of Arakoon, County of Macquarie",,,1883-1891,,"Felton, 2013, p.280",,Unknown location reserves
Woolbrook (Walcha Road),,,"Parish Unknown, Probably County of Inglis",,,1896-1941?,,"Felton, 2013, p.303",,Unknown location reserves
Yantabulla,,,"Parish Unknown, County of Irrara",,,,,"Felton, 2013, p.304",,Unknown location reserves
